gameID,leagueID,season,date,homeTeamID,awayTeamID,homeGoals,awayGoals,homeProbability,drawProbability,awayProbability
81,1,2015,2015-08-08 15:45:00,89,82,1,0,0.2843,0.3999,0.3158
82,1,2015,2015-08-08 18:00:00,73,71,0,1,0.3574,0.35,0.2926
83,1,2015,2015-08-08 18:00:00,72,90,2,2,0.2988,0.4337,0.2675
84,1,2015,2015-08-08 18:00:00,75,77,4,2,0.6422,0.2057,0.1521
85,1,2015,2015-08-08 18:00:00,79,78,1,3,0.1461,0.2159,0.638
86,1,2015,2015-08-08 20:30:00,80,84,2,2,0.0304,0.0924,0.8772
87,1,2015,2015-08-09 16:30:00,86,74,2,2,0.4386,0.3165,0.2449
88,1,2015,2015-08-09 16:30:00,83,81,0,2,0.5751,0.2826,0.1423
89,1,2015,2015-08-09 19:00:00,85,87,0,1,0.2482,0.5454,0.2064
90,1,2015,2015-08-10 23:00:00,76,88,0,3,0.0615,0.1698,0.7687
91,1,2015,2015-08-14 22:45:00,71,89,0,1,0.1056,0.4653,0.4291
92,1,2015,2015-08-15 15:45:00,74,72,0,3,0.2536,0.2845,0.4619
93,1,2015,2015-08-15 18:00:00,77,79,1,3,0.051,0.1845,0.7645
94,1,2015,2015-08-15 18:00:00,84,86,2,0,0.9165,0.0772,0.0063
95,1,2015,2015-08-15 18:00:00,82,85,2,2,0.1614,0.1925,0.6461
96,1,2015,2015-08-15 18:00:00,90,76,0,0,0.3286,0.3819,0.2895
97,1,2015,2015-08-15 18:00:00,81,75,1,2,0.0482,0.171,0.7808
98,1,2015,2015-08-16 16:30:00,78,83,1,2,0.1303,0.2113,0.6584
99,1,2015,2015-08-16 19:00:00,88,80,3,0,0.8142,0.1391,0.0467
100,1,2015,2015-08-17 23:00:00,87,73,1,0,0.8133,0.1411,0.0456
101,1,2015,2015-08-22 15:45:00,89,86,0,0,0.5889,0.292,0.1191
102,1,2015,2015-08-22 18:00:00,79,85,1,1,0.9013,0.074,0.0247
103,1,2015,2015-08-22 18:00:00,77,84,1,1,0.1219,0.2431,0.635
104,1,2015,2015-08-22 18:00:00,78,71,2,1,0.4747,0.3079,0.2174
105,1,2015,2015-08-22 18:00:00,75,82,1,1,0.1213,0.2191,0.6596
106,1,2015,2015-08-22 18:00:00,81,73,3,4,0.1041,0.1757,0.7202
107,1,2015,2015-08-23 16:30:00,76,80,2,3,0.2216,0.2612,0.5172
108,1,2015,2015-08-23 19:00:00,72,88,0,2,0.1063,0.2405,0.6532
109,1,2015,2015-08-23 19:00:00,90,74,0,0,0.5229,0.3118,0.1653
110,1,2015,2015-08-24 23:00:00,83,87,0,0,0.5114,0.2628,0.2258
111,1,2015,2015-08-29 15:45:00,86,83,0,1,0.002,0.0632,0.9348
112,1,2015,2015-08-29 18:00:00,85,76,0,1,0.4729,0.3248,0.2023
113,1,2015,2015-08-29 18:00:00,71,77,2,2,0.8747,0.1005,0.0248
114,1,2015,2015-08-29 18:00:00,73,75,1,1,0.0747,0.3278,0.5975
115,1,2015,2015-08-29 18:00:00,80,78,1,2,0.1779,0.217,0.6051
116,1,2015,2015-08-29 18:00:00,87,81,0,3,0.1978,0.3352,0.467
117,1,2015,2015-08-29 18:00:00,88,90,2,0,0.7074,0.2257,0.0669
118,1,2015,2015-08-29 20:30:00,82,72,0,0,0.7143,0.1943,0.0914
119,1,2015,2015-08-30 16:30:00,74,79,3,0,0.9129,0.0777,0.0094
120,1,2015,2015-08-30 19:00:00,84,89,2,1,0.2526,0.3113,0.4361
121,1,2015,2015-09-12 15:45:00,72,80,3,1,0.5186,0.2999,0.1815
122,1,2015,2015-09-12 18:00:00,83,85,2,0,0.9918,0.0075,7.00E-04
123,1,2015,2015-09-12 18:00:00,78,88,0,1,0.0179,0.0647,0.9174
124,1,2015,2015-09-12 18:00:00,90,84,1,0,0.684,0.2293,0.0867
125,1,2015,2015-09-12 18:00:00,76,74,0,0,0.1387,0.3427,0.5186
